owner,repo,full_name,html_url,stargazers_count,forks_count,open_issues_count,language,created_at,pushed_at,default_branch,total_prs,review_probe_pr,review_probe_state,review_probe_human_reviewer
milvus-io,milvus,milvus-io/milvus,https://github.com/milvus-io/milvus,44049,3985,1095,Go,2019-09-16T06:43:43Z,2026-04-29T17:15:50Z,master,30107,49467,COMMENTED,liliu-z
parcel-bundler,parcel,parcel-bundler/parcel,https://github.com/parcel-bundler/parcel,44032,2273,592,JavaScript,2017-08-07T16:36:47Z,2026-04-27T05:10:32Z,v2,3405,10118,COMMENTED,codeCraft-Ritik
Fission-AI,OpenSpec,Fission-AI/OpenSpec,https://github.com/Fission-AI/OpenSpec,44027,3053,304,TypeScript,2025-08-05T10:37:45Z,2026-04-24T07:41:01Z,main,520,964,COMMENTED,duizendnegen
streamich,react-use,streamich/react-use,https://github.com/streamich/react-use,43969,3272,654,TypeScript,2018-10-27T10:16:05Z,2026-01-20T12:19:23Z,master,2087,2701,COMMENTED,itsmejay80
yangshun,front-end-interview-handbook,yangshun/front-end-interview-handbook,https://github.com/yangshun/front-end-interview-handbook,43945,5956,11,MDX,2018-01-13T19:40:08Z,2026-04-29T12:40:43Z,main,405,61,APPROVED,yangshun
AykutSarac,jsoncrack.com,AykutSarac/jsoncrack.com,https://github.com/AykutSarac/jsoncrack.com,43915,3536,34,TypeScript,2022-01-30T15:25:18Z,2026-04-22T20:59:11Z,main,222,512,COMMENTED,TallTed
square,retrofit,square/retrofit,https://github.com/square/retrofit,43906,7352,170,HTML,2010-09-06T21:39:43Z,2026-04-27T21:44:48Z,trunk,1791,4552,COMMENTED,danrebati-fujitsu
babel,babel,babel/babel,https://github.com/babel/babel,43898,5813,752,TypeScript,2014-09-28T13:38:23Z,2026-04-29T21:42:25Z,main,8001,17948,APPROVED,JLHwung
spf13,cobra,spf13/cobra,https://github.com/spf13/cobra,43798,3134,364,Go,2013-09-03T20:40:26Z,2026-04-25T23:07:41Z,main,1121,2398,APPROVED,marckhouzam
hiroi-sora,Umi-OCR,hiroi-sora/Umi-OCR,https://github.com/hiroi-sora/Umi-OCR,43785,4324,337,Python,2022-03-28T04:01:46Z,2025-11-20T14:58:13Z,main,71,1002,COMMENTED,MonkeyCode-AI
jgm,pandoc,jgm/pandoc,https://github.com/jgm/pandoc,43785,3837,1069,Haskell,2010-03-20T20:34:23Z,2026-04-24T18:35:12Z,main,2282,6551,COMMENTED,jgm
aymericdamien,TensorFlow-Examples,aymericdamien/TensorFlow-Examples,https://github.com/aymericdamien/TensorFlow-Examples,43783,14757,228,Jupyter Notebook,2015-11-11T14:21:19Z,2024-07-26T19:46:13Z,master,174,306,COMMENTED,khatchad
NaiboWang,EasySpider,NaiboWang/EasySpider,https://github.com/NaiboWang/EasySpider,43740,5323,266,JavaScript,2020-07-18T02:41:27Z,2026-04-22T13:59:44Z,master,75,949,APPROVED,NaiboWang
getsentry,sentry,getsentry/sentry,https://github.com/getsentry/sentry,43733,4677,2125,Python,2010-08-30T22:06:41Z,2026-04-29T23:50:54Z,master,95864,114385,APPROVED,kcons
DIYgod,RSSHub,DIYgod/RSSHub,https://github.com/DIYgod/RSSHub,43727,9696,360,TypeScript,2018-04-02T14:43:21Z,2026-04-29T22:24:51Z,master,15158,21484,COMMENTED,TonyRL
warpdotdev,warp,warpdotdev/warp,https://github.com/warpdotdev/warp,43580,2590,3215,Rust,2021-07-08T18:48:08Z,2026-04-29T23:49:29Z,master,275,9339,APPROVED,vikvang
aaif-goose,goose,aaif-goose/goose,https://github.com/aaif-goose/goose,43547,4448,399,Rust,2024-08-23T19:03:36Z,2026-04-29T23:39:20Z,main,6519,8905,APPROVED,michaelneale
usebruno,bruno,usebruno/bruno,https://github.com/usebruno/bruno,43381,2364,1656,JavaScript,2022-09-27T20:51:45Z,2026-04-29T12:49:24Z,main,3301,7673,COMMENTED,sanish-bruno
