pair_id,repository,owner,repo,scenario_id,scenario_name,run_number,rest_elapsed_ms,graphql_elapsed_ms,delta_elapsed_ms,delta_elapsed_pct,rest_response_bytes,graphql_response_bytes,delta_response_bytes,delta_response_pct,rest_request_count,graphql_request_count
meta-llama/llama:C1:run028,meta-llama/llama,meta-llama,llama,C1,repository_metadata,28,529.005,512.506,-16.499,-3.119,6189,430,-5759,-93.052,1,1
meta-llama/llama:C1:run029,meta-llama/llama,meta-llama,llama,C1,repository_metadata,29,511.766,486.749,-25.017,-4.888,6189,430,-5759,-93.052,1,1
meta-llama/llama:C1:run030,meta-llama/llama,meta-llama,llama,C1,repository_metadata,30,5773.841,695.402,-5078.439,-87.956,6189,430,-5759,-93.052,1,1
meta-llama/llama:C2:run001,meta-llama/llama,meta-llama,llama,C2,recent_pull_requests,1,1069.501,529.573,-539.928,-50.484,132884,2710,-130174,-97.961,1,1
meta-llama/llama:C2:run002,meta-llama/llama,meta-llama,llama,C2,recent_pull_requests,2,838.090,669.713,-168.377,-20.091,132884,2710,-130174,-97.961,1,1
meta-llama/llama:C2:run003,meta-llama/llama,meta-llama,llama,C2,recent_pull_requests,3,596.606,577.734,-18.872,-3.163,132884,2710,-130174,-97.961,1,1
meta-llama/llama:C2:run004,meta-llama/llama,meta-llama,llama,C2,recent_pull_requests,4,630.666,559.929,-70.737,-11.216,132884,2710,-130174,-97.961,1,1
meta-llama/llama:C2:run005,meta-llama/llama,meta-llama,llama,C2,recent_pull_requests,5,1072.312,776.204,-296.108,-27.614,132884,2710,-130174,-97.961,1,1
meta-llama/llama:C2:run006,meta-llama/llama,meta-llama,llama,C2,recent_pull_requests,6,562.005,661.474,99.469,17.699,132884,2710,-130174,-97.961,1,1
meta-llama/llama:C2:run007,meta-llama/llama,meta-llama,llama,C2,recent_pull_requests,7,834.860,495.798,-339.062,-40.613,132884,2710,-130174,-97.961,1,1
meta-llama/llama:C2:run008,meta-llama/llama,meta-llama,llama,C2,recent_pull_requests,8,612.765,563.015,-49.750,-8.119,132884,2710,-130174,-97.961,1,1
meta-llama/llama:C2:run009,meta-llama/llama,meta-llama,llama,C2,recent_pull_requests,9,550.229,526.078,-24.151,-4.389,132884,2710,-130174,-97.961,1,1
meta-llama/llama:C2:run010,meta-llama/llama,meta-llama,llama,C2,recent_pull_requests,10,707.497,5504.754,4797.257,678.060,132884,2710,-130174,-97.961,1,1
meta-llama/llama:C2:run011,meta-llama/llama,meta-llama,llama,C2,recent_pull_requests,11,804.928,640.137,-164.791,-20.473,132884,2710,-130174,-97.961,1,1
meta-llama/llama:C2:run012,meta-llama/llama,meta-llama,llama,C2,recent_pull_requests,12,929.780,573.612,-356.168,-38.307,132884,2710,-130174,-97.961,1,1
meta-llama/llama:C2:run013,meta-llama/llama,meta-llama,llama,C2,recent_pull_requests,13,905.207,547.044,-358.163,-39.567,132884,2710,-130174,-97.961,1,1
meta-llama/llama:C2:run014,meta-llama/llama,meta-llama,llama,C2,recent_pull_requests,14,662.867,867.225,204.358,30.829,132884,2710,-130174,-97.961,1,1
meta-llama/llama:C2:run015,meta-llama/llama,meta-llama,llama,C2,recent_pull_requests,15,841.357,576.257,-265.100,-31.509,132884,2710,-130174,-97.961,1,1
meta-llama/llama:C2:run016,meta-llama/llama,meta-llama,llama,C2,recent_pull_requests,16,614.127,525.338,-88.789,-14.458,132884,2710,-130174,-97.961,1,1
meta-llama/llama:C2:run017,meta-llama/llama,meta-llama,llama,C2,recent_pull_requests,17,831.336,673.309,-158.027,-19.009,132884,2710,-130174,-97.961,1,1
meta-llama/llama:C2:run018,meta-llama/llama,meta-llama,llama,C2,recent_pull_requests,18,892.463,820.965,-71.498,-8.011,132884,2710,-130174,-97.961,1,1
meta-llama/llama:C2:run019,meta-llama/llama,meta-llama,llama,C2,recent_pull_requests,19,752.296,670.861,-81.435,-10.825,132884,2710,-130174,-97.961,1,1
meta-llama/llama:C2:run020,meta-llama/llama,meta-llama,llama,C2,recent_pull_requests,20,621.092,715.775,94.683,15.245,132884,2710,-130174,-97.961,1,1
meta-llama/llama:C2:run021,meta-llama/llama,meta-llama,llama,C2,recent_pull_requests,21,646.555,645.040,-1.515,-0.234,132884,2710,-130174,-97.961,1,1
meta-llama/llama:C2:run022,meta-llama/llama,meta-llama,llama,C2,recent_pull_requests,22,726.153,669.525,-56.628,-7.798,132884,2710,-130174,-97.961,1,1
meta-llama/llama:C2:run023,meta-llama/llama,meta-llama,llama,C2,recent_pull_requests,23,617.518,612.377,-5.141,-0.833,132884,2710,-130174,-97.961,1,1
meta-llama/llama:C2:run024,meta-llama/llama,meta-llama,llama,C2,recent_pull_requests,24,862.618,660.070,-202.548,-23.481,132884,2710,-130174,-97.961,1,1
meta-llama/llama:C2:run025,meta-llama/llama,meta-llama,llama,C2,recent_pull_requests,25,622.894,749.865,126.971,20.384,132884,2710,-130174,-97.961,1,1
meta-llama/llama:C2:run026,meta-llama/llama,meta-llama,llama,C2,recent_pull_requests,26,608.219,629.841,21.622,3.555,132884,2710,-130174,-97.961,1,1
meta-llama/llama:C2:run027,meta-llama/llama,meta-llama,llama,C2,recent_pull_requests,27,617.991,722.799,104.808,16.959,132884,2710,-130174,-97.961,1,1
meta-llama/llama:C2:run028,meta-llama/llama,meta-llama,llama,C2,recent_pull_requests,28,859.163,691.831,-167.332,-19.476,132884,2710,-130174,-97.961,1,1
meta-llama/llama:C2:run029,meta-llama/llama,meta-llama,llama,C2,recent_pull_requests,29,2343.665,695.144,-1648.521,-70.339,132884,2710,-130174,-97.961,1,1
meta-llama/llama:C2:run030,meta-llama/llama,meta-llama,llama,C2,recent_pull_requests,30,625.807,1426.175,800.368,127.894,132884,2710,-130174,-97.961,1,1
meta-llama/llama:C3:run001,meta-llama/llama,meta-llama,llama,C3,recent_issues,1,869.079,468.510,-400.569,-46.091,43805,2350,-41455,-94.635,1,1
meta-llama/llama:C3:run002,meta-llama/llama,meta-llama,llama,C3,recent_issues,2,814.540,546.832,-267.708,-32.866,43805,2350,-41455,-94.635,1,1
meta-llama/llama:C3:run003,meta-llama/llama,meta-llama,llama,C3,recent_issues,3,767.476,683.298,-84.178,-10.968,43805,2350,-41455,-94.635,1,1
meta-llama/llama:C3:run004,meta-llama/llama,meta-llama,llama,C3,recent_issues,4,697.636,730.247,32.611,4.675,43805,2350,-41455,-94.635,1,1
meta-llama/llama:C3:run005,meta-llama/llama,meta-llama,llama,C3,recent_issues,5,912.010,647.460,-264.550,-29.007,43805,2350,-41455,-94.635,1,1
